"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","loss","oversample","penalty","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"rose-sweep-87","h988r7ow","finished","-","7ben18","","2023-06-04T07:24:45.000Z","316","87ys4h5o","0.000001","squared_hinge","false","l2","433","5365","0.2","false","0.886238113815941","0.8233795440196946","0.8868084964650265","0.8212788954489947","0.8881030156176677","0.8332115894528499","0.886238113815941","0.8233795440196946"
"upbeat-sweep-86","h988r7ow","finished","-","7ben18","","2023-06-04T07:15:24.000Z","555","87ys4h5o","0.000001","squared_hinge","false","l2","5286","1462","0.2","false","0.92443027874709","0.70268845269042","0.9229459380820272","0.703044091836529","0.9243766530173744","0.7253804459987718","0.92443027874709","0.70268845269042"
"likely-sweep-85","h988r7ow","finished","-","7ben18","","2023-06-04T07:07:34.000Z","461","87ys4h5o","0.000001","squared_hinge","false","l2","1926","9296","0.2","false","0.8587739961049801","0.8097823449653893","0.863230277205187","0.813246122602529","0.8753906617940235","0.8223697514115477","0.8587739961049801","0.8097823449653893"
"floral-sweep-84","h988r7ow","finished","-","7ben18","","2023-06-04T07:01:10.000Z","381","87ys4h5o","0.000001","squared_hinge","false","l2","7682","5950","0.2","false","0.8707600158684393","0.788759185879881","0.87259556703264","0.8102371855227677","0.8768682204407414","0.8884493753576282","0.8707600158684393","0.788759185879881"
"revived-sweep-83","h988r7ow","finished","-","7ben18","","2023-06-04T06:52:30.000Z","518","87ys4h5o","0.000001","squared_hinge","false","l2","5014","2358","0.2","false","0.9130468594830938","0.7447981599386646","0.9128854262029228","0.7611437945053445","0.914190722473827","0.814646753925647","0.9130468594830938","0.7447981599386646"
"cosmic-sweep-82","h988r7ow","finished","-","7ben18","","2023-06-04T06:44:19.000Z","485","87ys4h5o","0.000001","squared_hinge","false","l2","851","3610","0.2","false","0.8355638326466611","0.8319434488947942","0.8378958871627973","0.8354361908046122","0.8447603388175724","0.8557887843387026","0.8355638326466611","0.8319434488947942"
"pleasant-sweep-81","h988r7ow","finished","-","7ben18","","2023-06-04T06:31:47.000Z","748","87ys4h5o","0.000001","squared_hinge","false","l2","5255","756","0.2","false","0.8311264832250953","0.6633262936467524","0.8332576946996432","0.6803044417902551","0.8479863664742526","0.7620650969172568","0.8311264832250953","0.6633262936467524"
"efficient-sweep-80","h988r7ow","finished","-","7ben18","","2023-06-04T06:22:17.000Z","566","87ys4h5o","0.000001","squared_hinge","false","l2","8280","3764","0.2","false","0.8736457184553769","0.5884467685268404","0.8763950168520153","0.5967975586717016","0.8826321620912795","0.6618093748614924","0.8736457184553769","0.5884467685268404"
"fluent-sweep-79","h988r7ow","finished","-","7ben18","","2023-06-04T06:17:14.000Z","297","87ys4h5o","0.000001","squared_hinge","false","l2","324","5621","0.2","false","0.9173758031890384","0.7436096147660763","0.9190378019367212","0.7539071408532975","0.9233154067664396","0.7886439676640649","0.9173758031890384","0.7436096147660763"
"fallen-sweep-78","h988r7ow","finished","-","7ben18","","2023-06-04T06:08:57.000Z","493","87ys4h5o","0.000001","squared_hinge","false","l2","7204","6008","0.2","false","0.867189210822403","0.7100124170457865","0.8679993826861144","0.733834243475965","0.8722578852918058","0.7880689830064992","0.867189210822403","0.7100124170457865"
"snowy-sweep-77","h988r7ow","finished","-","7ben18","","2023-06-04T06:01:37.000Z","437","87ys4h5o","0.000001","squared_hinge","false","l2","1625","4496","0.2","false","0.8595039433564051","0.8261815299959813","0.856290639498049","0.8249753432130066","0.8584032420022867","0.8305452881595551","0.8595039433564051","0.8261815299959813"
"worthy-sweep-76","h988r7ow","finished","-","7ben18","","2023-06-04T05:55:15.000Z","379","87ys4h5o","0.000001","squared_hinge","false","l2","2952","9683","0.2","false","0.8640684855591005","0.6907235002949399","0.8598687235885253","0.6626149006864678","0.8703138669487008","0.7047307579740443","0.8640684855591005","0.6907235002949399"
"peachy-sweep-75","h988r7ow","finished","-","7ben18","","2023-06-04T05:47:02.000Z","491","87ys4h5o","0.000001","squared_hinge","false","l2","3167","1814","0.2","false","0.9016516001026104","0.8191199717899696","0.9021332292204636","0.8260473314614932","0.9050913724733828","0.8472887429007615","0.9016516001026104","0.8191199717899696"
"laced-sweep-74","h988r7ow","finished","-","7ben18","","2023-06-04T05:40:55.000Z","365","87ys4h5o","0.000001","squared_hinge","false","l2","6673","7669","0.2","false","0.8953163768997812","0.923531019299751","0.8955519987688423","0.9237863226849936","0.8961788500925321","0.9293559298311044","0.8953163768997812","0.923531019299751"
"frosty-sweep-73","h988r7ow","finished","-","7ben18","","2023-06-04T05:28:02.000Z","770","87ys4h5o","0.000001","squared_hinge","false","l2","6854","8516","0.2","false","0.8758745250487392","0.786755592503023","0.8703972094817839","0.7865830313180712","0.8786230598610857","0.7933223012472398","0.8758745250487392","0.786755592503023"
"toasty-sweep-72","h988r7ow","finished","-","7ben18","","2023-06-04T05:19:27.000Z","513","87ys4h5o","0.000001","squared_hinge","false","l2","9812","4291","0.2","false","0.8266463741514694","0.5567973585845067","0.8310509388266777","0.5663223878396241","0.8410749791339284","0.7533726080820771","0.8266463741514694","0.5567973585845067"
"crisp-sweep-71","h988r7ow","finished","-","7ben18","","2023-06-04T05:10:35.000Z","527","87ys4h5o","0.000001","squared_hinge","false","l2","4158","9765","0.2","false","0.8980679249162701","0.5451093220869037","0.8988755434023311","0.5515540977800288","0.901056067908611","0.6914398106751024","0.8980679249162701","0.5451093220869037"
"flowing-sweep-70","h988r7ow","finished","-","7ben18","","2023-06-04T05:02:46.000Z","467","87ys4h5o","0.000001","squared_hinge","false","l2","2846","5144","0.2","false","0.902185624417215","0.7508141712231293","0.903299652233559","0.7533746158031773","0.90698859662011","0.765834326497295","0.902185624417215","0.7508141712231293"
"quiet-sweep-69","h988r7ow","finished","-","7ben18","","2023-06-04T04:47:25.000Z","918","87ys4h5o","0.000001","squared_hinge","false","l2","2148","4393","0.2","false","0.8343122079462076","0.767493057499316","0.8246886529582155","0.7510294120314833","0.8436047986387155","0.7629548049085284","0.8343122079462076","0.767493057499316"
"polar-sweep-68","h988r7ow","finished","-","7ben18","","2023-06-04T04:41:52.000Z","328","87ys4h5o","0.000001","squared_hinge","false","l2","6955","3248","0.2","false","0.9006008517780112","0.6414629139952428","0.9013394179049264","0.6560642728372238","0.9027285977955296","0.758182144146427","0.9006008517780112","0.6414629139952428"
"firm-sweep-67","h988r7ow","finished","-","7ben18","","2023-06-04T04:34:31.000Z","440","87ys4h5o","0.000001","squared_hinge","false","l2","8266","2254","0.2","false","0.8989772882376773","0.8176904076382958","0.8995714335321412","0.8164727274900073","0.9012755022091264","0.8237511379291499","0.8989772882376773","0.8176904076382958"
"rosy-sweep-66","h988r7ow","finished","-","7ben18","","2023-06-04T04:26:51.000Z","457","87ys4h5o","0.000001","squared_hinge","false","l2","317","2070","0.2","false","0.8489504323317038","0.5089020159571787","0.8514796007407335","0.4694368575228123","0.857421680723645","0.64069730122886","0.8489504323317038","0.5089020159571787"
"kind-sweep-65","h988r7ow","finished","-","7ben18","","2023-06-04T04:18:38.000Z","488","87ys4h5o","0.000001","squared_hinge","false","l2","6444","5221","0.2","false","0.8967471223914639","0.7092928718816799","0.8993321829723172","0.6687982955441887","0.9052209414273048","0.7246881964698213","0.8967471223914639","0.7092928718816799"
"sage-sweep-64","h988r7ow","finished","-","7ben18","","2023-06-04T04:10:26.000Z","491","87ys4h5o","0.000001","squared_hinge","false","l2","935","3308","0.2","false","0.8550483660686073","0.8489197465532083","0.8561069016247506","0.8553980473080324","0.865292563158559","0.8696055943726552","0.8550483660686073","0.8489197465532083"
"dry-sweep-63","h988r7ow","finished","-","7ben18","","2023-06-04T04:04:26.000Z","355","87ys4h5o","0.000001","squared_hinge","false","l2","1893","2949","0.2","false","0.8968553826775544","0.5865311830137645","0.8954072258480786","0.6185308793666568","0.8962363978541397","0.7424286262752765","0.8968553826775544","0.5865311830137645"
